Id,SalePrice
1461,130498.11
1462,155372.55
1463,181296.27
1464,200785.64
1465,191941.61
1466,176185.6
1467,178995.92
1468,167983.19
1469,182548.77
1470,122288.69
1471,205672.03
1472,96838.16
1473,99781.36
1474,159792.53
1475,123089.016
1476,370215.6
1477,246760.16
1478,296325.03
1479,287565.47
1480,572133.5
1481,285952.16
1482,205154.58
1483,176507.81
1484,165297.53
1485,175459.38
1486,197495.19
1487,333650.88
1488,233668.67
1489,207331.78
1490,232773.14
1491,191258.55
1492,88457.586
1493,182002.78
1494,313524.75
1495,280511.03
1496,244135.52
1497,181926.12
1498,160606.77
1499,158157.08
1500,157196.12
1501,172241.92
1502,149692.77
1503,309630.1
1504,225299.36
1505,221167.28
1506,179598.27
1507,234481.56
1508,181775.61
1509,155759.81
1510,138230.5
1511,136976.55
1512,177661.64
1513,146794.55
1514,175503.56
1515,195019.36
1516,154860.78
1517,165408.58
1518,137008.12
1519,225076.9
1520,131589.47
1521,132145.83
1522,174692.08
1523,109609.81
1524,121877.74
1525,125537.33
1526,119889.71
1527,112325.72
1528,138477.92
1529,148048.64
1530,183428.52
1531,110916.766
1532,103683.07
1533,148861.08
1534,115565.664
1535,145958.22
1536,112632.72
1537,76153.35
1538,165575.19
1539,206266.34
1540,108130.75
1541,147960.48
1542,139334.64
1543,209967.77
1544,84794.914
1545,100976.68
1546,138199.06
1547,136024.36
1548,133214.06
1549,118865.875
1550,143854.22
1551,110817.7
1552,143120.53
1553,152959.48
1554,111125.15
1555,162862.27
1556,77533.64
1557,110371.305
1558,97183.91
1559,85893.19
1560,140392.38
1561,139334.47
1562,130997.81
1563,118984.914
1564,147970.73
1565,144187.55
1566,240741.77
1567,66539.64
1568,235751.77
1569,145735.14
1570,144746.8
1571,129648.66
1572,142810.81
1573,241611.83
1574,122603.53
1575,216988.02
1576,235679.69
1577,196122.81
1578,149975.64
1579,152410.97
1580,195003.84
1581,149596.06
1582,131342.8
1583,335618.7
1584,234527.36
1585,142050.34
1586,71495.13
1587,101170.68
1588,144255.03
1589,93235.96
1590,134881.2
1591,91981.84
1592,131885.31
1593,131656.45
1594,156234.42
1595,103256.64
1596,221054.45
1597,184483.84
1598,195660.08
1599,187765.06
1600,189743.12
1601,77303.836
1602,114712.09
1603,88439.44
1604,277116.72
1605,260122.83
1606,167115.34
1607,164202.53
1608,221390.45
1609,190758.84
1610,151678.31
1611,140696.81
1612,166388.31
1613,161064.6
1614,129017.3
1615,81949.43
1616,70319.84
1617,92065.59
1618,124139.06
1619,148278.23
1620,166235.92
1621,137998.75
1622,139032.0
1623,278468.3
1624,212204.17
1625,133087.22
1626,171450.44
1627,191446.4
1628,273633.38
1629,179538.45
1630,364911.44
1631,218729.1
1632,238069.38
1633,168840.81
1634,186584.34
1635,180866.05
1636,162126.23
1637,180426.67
1638,210429.58
1639,178029.34
1640,265059.75
1641,176505.1
1642,232195.67
1643,226287.77
1644,214729.7
1645,193108.52
1646,156676.92
1647,159258.45
1648,127000.54
1649,137595.88
1650,117581.164
1651,127830.18
1652,100707.53
1653,97386.13
1654,149685.62
1655,150702.7
1656,149643.89
1657,148603.45
1658,152375.03
1659,130485.64
1660,155076.45
1661,501028.1
1662,392802.44
1663,376713.28
1664,521431.5
1665,309256.75
1666,335917.3
1667,384105.3
1668,334560.4
1669,301499.38
1670,345219.6
1671,252739.58
1672,502866.56
1673,293654.75
1674,248407.83
1675,180509.6
1676,184088.61
1677,206354.11
1678,489009.1
1679,421995.94
1680,327021.4
1681,271254.38
1682,308233.0
1683,177106.94
1684,178820.06
1685,170778.34
1686,173781.94
1687,169982.5
1688,188894.31
1689,191896.45
1690,190638.58
1691,176943.31
1692,263708.28
1693,167997.64
1694,186221.72
1695,169916.53
1696,280645.3
1697,180016.8
1698,343145.62
1699,337975.12
1700,239162.22
1701,251765.33
1702,253451.66
1703,251040.84
1704,288368.34
1705,226106.47
1706,453045.53
1707,219880.83
1708,203135.53
1709,273877.78
1710,231256.11
1711,264340.5
1712,258493.0
1713,270269.2
1714,217067.27
1715,207263.31
1716,192989.84
1717,172640.16
1718,143799.11
1719,200289.19
1720,239816.19
1721,177153.28
1722,135413.06
1723,161562.89
