Id,SalePrice
1461,124468.64
1462,140933.4
1463,178984.61
1464,177247.27
1465,193750.31
1466,166199.31
1467,174208.0
1468,160112.73
1469,170830.02
1470,119247.18
1471,200156.14
1472,91398.96
1473,95408.04
1474,147379.36
1475,122470.18
1476,345499.2
1477,253153.95
1478,289222.8
1479,271268.5
1480,529930.2
1481,306864.7
1482,205482.56
1483,175757.3
1484,168691.1
1485,167182.83
1486,177048.2
1487,312663.78
1488,225820.23
1489,206179.11
1490,198062.97
1491,174169.61
1492,90498.95
1493,177330.62
1494,302379.34
1495,292670.12
1496,218715.48
1497,180168.66
1498,155430.48
1499,155459.33
1500,153802.34
1501,177592.53
1502,152063.05
1503,270612.2
1504,225874.9
1505,210798.6
1506,177783.06
1507,225748.8
1508,187326.4
1509,156153.11
1510,140260.14
1511,137441.9
1512,163495.88
1513,147956.45
1514,164118.95
1515,180963.22
1516,155511.64
1517,149055.64
1518,133636.64
1519,214792.6
1520,131488.7
1521,135483.47
1522,166312.94
1523,108224.84
1524,122026.04
1525,120570.89
1526,115956.484
1527,108375.47
1528,124577.3
1529,141677.19
1530,164500.53
1531,109089.12
1532,103272.15
1533,146822.95
1534,112916.46
1535,152242.89
1536,115073.18
1537,77578.9
1538,161426.86
1539,220870.89
1540,96373.766
1541,148795.78
1542,149248.16
1543,207795.31
1544,71550.03
1545,97814.41
1546,122816.96
1547,137911.47
1548,132003.03
1549,111974.82
1550,151110.1
1551,109794.69
1552,139892.34
1553,134273.39
1554,111309.24
1555,178764.8
1556,81961.484
1557,129449.2
1558,91374.34
1559,107203.63
1560,139879.1
1561,159878.5
1562,121594.42
1563,122146.5
1564,154502.7
1565,143054.61
1566,233905.56
1567,77355.89
1568,211806.45
1569,139572.67
1570,129949.99
1571,133622.75
1572,143105.98
1573,247097.98
1574,111914.18
1575,209702.03
1576,222148.67
1577,197823.53
1578,153540.16
1579,143362.75
1580,179453.06
1581,140636.1
1582,128818.27
1583,310397.28
1584,227471.89
1585,142637.58
1586,65210.1
1587,95646.25
1588,141613.89
1589,91918.484
1590,131132.78
1591,100819.32
1592,117688.57
1593,119275.08
1594,162606.61
1595,107395.69
1596,229593.97
1597,158007.89
1598,177557.95
1599,188838.67
1600,190087.17
1601,74602.14
1602,108465.67
1603,88222.34
